date;India;Germany;Greece;Italy
2020-01-22;0;0;0;0
2020-01-23;0;0;0;0
2020-01-24;0;0;0;0
2020-01-25;0;0;0;0
2020-01-26;0;0;0;0
2020-01-27;0;1;0;0
2020-01-28;0;4;0;0
2020-01-29;0;4;0;0
2020-01-30;1;4;0;0
2020-01-31;1;5;0;2
2020-02-01;1;8;0;2
2020-02-02;2;10;0;2
2020-02-03;3;12;0;2
2020-02-04;3;12;0;2
2020-02-05;3;12;0;2
2020-02-06;3;12;0;2
2020-02-07;3;13;0;3
2020-02-08;3;13;0;3
2020-02-09;3;14;0;3
2020-02-10;3;14;0;3
2020-02-11;3;16;0;3
2020-02-12;3;16;0;3
2020-02-13;3;16;0;3
2020-02-14;3;16;0;3
2020-02-15;3;16;0;3
2020-02-16;3;16;0;3
2020-02-17;3;16;0;3
2020-02-18;3;16;0;3
2020-02-19;3;16;0;3
2020-02-20;3;16;0;3
2020-02-21;3;16;0;20
2020-02-22;3;16;0;62
2020-02-23;3;16;0;155
2020-02-24;3;16;0;229
2020-02-25;3;16;0;322
2020-02-26;3;21;1;453
2020-02-27;3;26;3;655
2020-02-28;3;53;4;888
2020-02-29;3;66;4;1128
2020-03-01;3;117;7;1694
2020-03-02;5;150;7;2036
2020-03-03;5;188;7;2502
2020-03-04;28;240;9;3089
2020-03-05;30;349;31;3858
2020-03-06;31;534;45;4636
2020-03-07;34;684;46;5883
2020-03-08;39;847;73;7375
2020-03-09;43;1112;73;9172
2020-03-10;56;1296;89;10149
2020-03-11;62;1567;99;12462
2020-03-12;73;2369;99;15113
2020-03-13;82;3062;190;17660
2020-03-14;102;3795;228;21157
2020-03-15;113;4838;331;24747
2020-03-16;119;6012;331;27980
2020-03-17;142;7156;387;31506
2020-03-18;156;8198;418;35713
2020-03-19;194;10999;418;41035
2020-03-20;244;13957;495;47021
2020-03-21;330;16662;530;53578
2020-03-22;396;18610;624;59138
2020-03-23;499;22672;695;63927
2020-03-24;536;27436;743;69176
2020-03-25;657;31554;835;74386
2020-03-26;727;36508;835;80589
2020-03-27;887;42288;835;86498
2020-03-28;987;48582;835;92472
2020-03-29;1024;52547;1156;97689
2020-03-30;1251;57298;1156;101739
